"Respondent.clean","Respondent.ID","Respondent.entry.ID","Region.within.country.clean","Country.clean","World.region.clean","Crop.clean","Crop.type.clean","Score.type","Score","Respondent.entry.label","TotalScore.allSteps","MeanScore.allSteps","GeoMeanScore.allSteps"
"CO","R10",1,"Multi-country (Peru-Colombia multi-region)","Peru & Colombia","Latin America / Caribbean","Agroforestry cacao","Agroforestry cacao","Monitoring Interventions",0,"R10-1",5,1,0
"CO","R10",1,"Multi-country (Peru-Colombia multi-region)","Peru & Colombia","Latin America / Caribbean","Agroforestry cacao","Agroforestry cacao","Breadth of Implementation
of Interventions",0,"R10-1",5,1,0
"CM","R11",1,"Western Province","Ghana","Africa","Multi- crop","Pasture & mixed cropping","Evidence",2,"R11-1",5,1,0
"CM","R11",1,"Western Province","Ghana","Africa","Multi- crop","Pasture & mixed cropping","Representativeness",1,"R11-1",5,1,0
"CM","R11",1,"Western Province","Ghana","Africa","Multi- crop","Pasture & mixed cropping","Limiting Factors",2,"R11-1",5,1,0
"CM","R11",1,"Western Province","Ghana","Africa","Multi- crop","Pasture & mixed cropping","Available Interventions",1,"R11-1",5,1,0
"CM","R11",1,"Western Province","Ghana","Africa","Multi- crop","Pasture & mixed cropping","Monitoring Interventions",0,"R11-1",5,1,0
"CM","R11",1,"Western Province","Ghana","Africa","Multi- crop","Pasture & mixed cropping","Breadth of Implementation
of Interventions",0,"R11-1",5,1,0
"DR","R12",1,"Veneto","Italy","Europe","Apple","Perennial fruit & forestry crops","Evidence",3,"R12-1",7,1.4,0
"DR","R12",1,"Veneto","Italy","Europe","Apple","Perennial fruit & forestry crops","Representativeness",0,"R12-1",7,1.4,0
"DR","R12",1,"Veneto","Italy","Europe","Apple","Perennial fruit & forestry crops","Limiting Factors",2,"R12-1",7,1.4,0
"DR","R12",1,"Veneto","Italy","Europe","Apple","Perennial fruit & forestry crops","Available Interventions",1,"R12-1",7,1.4,0
"DR","R12",1,"Veneto","Italy","Europe","Apple","Perennial fruit & forestry crops","Monitoring Interventions",0,"R12-1",7,1.4,0
"DR","R12",1,"Veneto","Italy","Europe","Apple","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",1,"R12-1",7,1.4,0
"DF","R13",1,"Cameroon: multi-region","Cameroon","Africa","Agroforestry cacao","Agroforestry cacao","Evidence",3,"R13-1",6,1.2,0
"DF","R13",1,"Cameroon: multi-region","Cameroon","Africa","Agroforestry cacao","Agroforestry cacao","Representativeness",1,"R13-1",6,1.2,0
"DF","R13",1,"Cameroon: multi-region","Cameroon","Africa","Agroforestry cacao","Agroforestry cacao","Limiting Factors",2,"R13-1",6,1.2,0
"DF","R13",1,"Cameroon: multi-region","Cameroon","Africa","Agroforestry cacao","Agroforestry cacao","Available Interventions",1,"R13-1",6,1.2,0
"DF","R13",1,"Cameroon: multi-region","Cameroon","Africa","Agroforestry cacao","Agroforestry cacao","Monitoring Interventions",0,"R13-1",6,1.2,0
"DF","R13",1,"Cameroon: multi-region","Cameroon","Africa","Agroforestry cacao","Agroforestry cacao","Breadth of Implementation
of Interventions",0,"R13-1",6,1.2,0
"DF","R13",2,"Cameroon: multi-region","Cameroon","Africa","Agroforestry cacao","Agroforestry cacao","Evidence",3,"R13-2",8,1.6,0
"DF","R13",2,"Cameroon: multi-region","Cameroon","Africa","Agroforestry cacao","Agroforestry cacao","Representativeness",0,"R13-2",8,1.6,0
"DF","R13",2,"Cameroon: multi-region","Cameroon","Africa","Agroforestry cacao","Agroforestry cacao","Limiting Factors",2,"R13-2",8,1.6,0
"DF","R13",2,"Cameroon: multi-region","Cameroon","Africa","Agroforestry cacao","Agroforestry cacao","Available Interventions",2,"R13-2",8,1.6,0
"DF","R13",2,"Cameroon: multi-region","Cameroon","Africa","Agroforestry cacao","Agroforestry cacao","Monitoring Interventions",1,"R13-2",8,1.6,0
"DF","R13",2,"Cameroon: multi-region","Cameroon","Africa","Agroforestry cacao","Agroforestry cacao","Breadth of Implementation
of Interventions",0,"R13-2",8,1.6,0
"KD","R14",1,"Karnataka","India","South / Southeast Asia","Rice","Grain crops","Evidence",2,"R14-1",3,0.6,0
"KD","R14",1,"Karnataka","India","South / Southeast Asia","Rice","Grain crops","Representativeness",1,"R14-1",3,0.6,0
"KD","R14",1,"Karnataka","India","South / Southeast Asia","Rice","Grain crops","Limiting Factors",1,"R14-1",3,0.6,0
"KD","R14",1,"Karnataka","India","South / Southeast Asia","Rice","Grain crops","Available Interventions",0,"R14-1",3,0.6,0
"KD","R14",1,"Karnataka","India","South / Southeast Asia","Rice","Grain crops","Monitoring Interventions",0,"R14-1",3,0.6,0
"KD","R14",1,"Karnataka","India","South / Southeast Asia","Rice","Grain crops","Breadth of Implementation
of Interventions",0,"R14-1",3,0.6,0
"KD","R14",2,"Karnataka","India","South / Southeast Asia","Arecanut","Perennial fruit & forestry crops","Evidence",2,"R14-2",3,0.6,0
"KD","R14",2,"Karnataka","India","South / Southeast Asia","Arecanut","Perennial fruit & forestry crops","Representativeness",1,"R14-2",3,0.6,0
"KD","R14",2,"Karnataka","India","South / Southeast Asia","Arecanut","Perennial fruit & forestry crops","Limiting Factors",0,"R14-2",3,0.6,0
"KD","R14",2,"Karnataka","India","South / Southeast Asia","Arecanut","Perennial fruit & forestry crops","Available Interventions",0,"R14-2",3,0.6,0
"KD","R14",2,"Karnataka","India","South / Southeast Asia","Arecanut","Perennial fruit & forestry crops","Monitoring Interventions",1,"R14-2",3,0.6,0
"KD","R14",2,"Karnataka","India","South / Southeast Asia","Arecanut","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",0,"R14-2",3,0.6,0
"EF","R15",1,"Central Scotland","UK","Europe","Multi- grain & vegetable","Pasture & mixed cropping","Evidence",2,"R15-1",10,2,2
"EF","R15",1,"Central Scotland","UK","Europe","Multi- grain & vegetable","Pasture & mixed cropping","Representativeness",2,"R15-1",10,2,2
"EF","R15",1,"Central Scotland","UK","Europe","Multi- grain & vegetable","Pasture & mixed cropping","Limiting Factors",2,"R15-1",10,2,2
"EF","R15",1,"Central Scotland","UK","Europe","Multi- grain & vegetable","Pasture & mixed cropping","Available Interventions",2,"R15-1",10,2,2
"EF","R15",1,"Central Scotland","UK","Europe","Multi- grain & vegetable","Pasture & mixed cropping","Monitoring Interventions",2,"R15-1",10,2,2
"EF","R15",1,"Central Scotland","UK","Europe","Multi- grain & vegetable","Pasture & mixed cropping","Breadth of Implementation
of Interventions",2,"R15-1",10,2,2
"EF","R15",2,"Central Scotland","UK","Europe","Pasture","Pasture & mixed cropping","Evidence",2,"R15-2",10,2,2
"EF","R15",2,"Central Scotland","UK","Europe","Pasture","Pasture & mixed cropping","Representativeness",2,"R15-2",10,2,2
"EF","R15",2,"Central Scotland","UK","Europe","Pasture","Pasture & mixed cropping","Limiting Factors",2,"R15-2",10,2,2
"EF","R15",2,"Central Scotland","UK","Europe","Pasture","Pasture & mixed cropping","Available Interventions",2,"R15-2",10,2,2
"EF","R15",2,"Central Scotland","UK","Europe","Pasture","Pasture & mixed cropping","Monitoring Interventions",2,"R15-2",10,2,2
"EF","R15",2,"Central Scotland","UK","Europe","Pasture","Pasture & mixed cropping","Breadth of Implementation
of Interventions",2,"R15-2",10,2,2
"EF","R15",3,"Central Scotland","UK","Europe","Multi- crop & pasture","Pasture & mixed cropping","Evidence",2,"R15-3",10,2,2
"EF","R15",3,"Central Scotland","UK","Europe","Multi- crop & pasture","Pasture & mixed cropping","Representativeness",2,"R15-3",10,2,2
"EF","R15",3,"Central Scotland","UK","Europe","Multi- crop & pasture","Pasture & mixed cropping","Limiting Factors",2,"R15-3",10,2,2
"EF","R15",3,"Central Scotland","UK","Europe","Multi- crop & pasture","Pasture & mixed cropping","Available Interventions",2,"R15-3",10,2,2
"EF","R15",3,"Central Scotland","UK","Europe","Multi- crop & pasture","Pasture & mixed cropping","Monitoring Interventions",2,"R15-3",10,2,2
"EF","R15",3,"Central Scotland","UK","Europe","Multi- crop & pasture","Pasture & mixed cropping","Breadth of Implementation
of Interventions",2,"R15-3",10,2,2
"FM","R16",1,"Multi-region: northern, eastern & western France","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Evidence",2,"R16-1",10,2,2
"FM","R16",1,"Multi-region: northern, eastern & western France","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Representativeness",1,"R16-1",10,2,2
"FM","R16",1,"Multi-region: northern, eastern & western France","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Limiting Factors",2,"R16-1",10,2,2
"FM","R16",1,"Multi-region: northern, eastern & western France","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Available Interventions",2,"R16-1",10,2,2
"FM","R16",1,"Multi-region: northern, eastern & western France","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Monitoring Interventions",2,"R16-1",10,2,2
"FM","R16",1,"Multi-region: northern, eastern & western France","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Breadth of Implementation
of Interventions",2,"R16-1",10,2,2
"FM","R16",2,"Multi-region: northern, eastern & western France","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Evidence",0,"R16-2",8,1.6,0
"FM","R16",2,"Multi-region: northern, eastern & western France","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Representativeness",2,"R16-2",8,1.6,0
"FM","R16",2,"Multi-region: northern, eastern & western France","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Limiting Factors",2,"R16-2",8,1.6,0
"FM","R16",2,"Multi-region: northern, eastern & western France","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Available Interventions",2,"R16-2",8,1.6,0
"FM","R16",2,"Multi-region: northern, eastern & western France","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Monitoring Interventions",2,"R16-2",8,1.6,0
"FM","R16",2,"Multi-region: northern, eastern & western France","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Breadth of Implementation
of Interventions",2,"R16-2",8,1.6,0
"FM","R16",3,"Multi-region: Normandie, Occitanie, Vaucluse & Nouvelle-Aquitaine","France","Europe","Apple","Perennial fruit & forestry crops","Evidence",2,"R16-3",10,2,2
"FM","R16",3,"Multi-region: Normandie, Occitanie, Vaucluse & Nouvelle-Aquitaine","France","Europe","Apple","Perennial fruit & forestry crops","Representativeness",2,"R16-3",10,2,2
"FM","R16",3,"Multi-region: Normandie, Occitanie, Vaucluse & Nouvelle-Aquitaine","France","Europe","Apple","Perennial fruit & forestry crops","Limiting Factors",2,"R16-3",10,2,2
"FM","R16",3,"Multi-region: Normandie, Occitanie, Vaucluse & Nouvelle-Aquitaine","France","Europe","Apple","Perennial fruit & forestry crops","Available Interventions",2,"R16-3",10,2,2
"FM","R16",3,"Multi-region: Normandie, Occitanie, Vaucluse & Nouvelle-Aquitaine","France","Europe","Apple","Perennial fruit & forestry crops","Monitoring Interventions",2,"R16-3",10,2,2
"FM","R16",3,"Multi-region: Normandie, Occitanie, Vaucluse & Nouvelle-Aquitaine","France","Europe","Apple","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",2,"R16-3",10,2,2
"GM","R17",1,"Texas","USA","North America","Cotton","Field crops","Evidence",3,"R17-1",10,2,1.782602457966
"GM","R17",1,"Texas","USA","North America","Cotton","Field crops","Representativeness",3,"R17-1",10,2,1.782602457966
"GM","R17",1,"Texas","USA","North America","Cotton","Field crops","Limiting Factors",3,"R17-1",10,2,1.782602457966
"GM","R17",1,"Texas","USA","North America","Cotton","Field crops","Available Interventions",1,"R17-1",10,2,1.782602457966
"GM","R17",1,"Texas","USA","North America","Cotton","Field crops","Monitoring Interventions",2,"R17-1",10,2,1.782602457966
"GM","R17",1,"Texas","USA","North America","Cotton","Field crops","Breadth of Implementation
of Interventions",1,"R17-1",10,2,1.782602457966
"GM","R17",2,"Multi-region: Texas & Florida","USA","North America","Pecan","Perennial fruit & forestry crops","Evidence",2,"R17-2",9,1.8,1.74110112659225
"GM","R17",2,"Multi-region: Texas & Florida","USA","North America","Pecan","Perennial fruit & forestry crops","Representativeness",1,"R17-2",9,1.8,1.74110112659225
"GM","R17",2,"Multi-region: Texas & Florida","USA","North America","Pecan","Perennial fruit & forestry crops","Limiting Factors",2,"R17-2",9,1.8,1.74110112659225
"GM","R17",2,"Multi-region: Texas & Florida","USA","North America","Pecan","Perennial fruit & forestry crops","Available Interventions",2,"R17-2",9,1.8,1.74110112659225
"GM","R17",2,"Multi-region: Texas & Florida","USA","North America","Pecan","Perennial fruit & forestry crops","Monitoring Interventions",1,"R17-2",9,1.8,1.74110112659225
"GM","R17",2,"Multi-region: Texas & Florida","USA","North America","Pecan","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",2,"R17-2",9,1.8,1.74110112659225
"HK","R18",1,"New South Wales","Australia","Australasia / Pacific","Cotton","Field crops","Evidence",3,"R18-1",8,1.6,1.43096908110526
"HK","R18",1,"New South Wales","Australia","Australasia / Pacific","Cotton","Field crops","Representativeness",2,"R18-1",8,1.6,1.43096908110526
"HK","R18",1,"New South Wales","Australia","Australasia / Pacific","Cotton","Field crops","Limiting Factors",1,"R18-1",8,1.6,1.43096908110526
"HK","R18",1,"New South Wales","Australia","Australasia / Pacific","Cotton","Field crops","Available Interventions",2,"R18-1",8,1.6,1.43096908110526
"HK","R18",1,"New South Wales","Australia","Australasia / Pacific","Cotton","Field crops","Monitoring Interventions",1,"R18-1",8,1.6,1.43096908110526
"HK","R18",1,"New South Wales","Australia","Australasia / Pacific","Cotton","Field crops","Breadth of Implementation
of Interventions",1,"R18-1",8,1.6,1.43096908110526
"HK","R18",2,"New South Wales","Australia","Australasia / Pacific","Blueberries","Perennial fruit & forestry crops","Evidence",1,"R18-2",3,0.6,0
"HK","R18",2,"New South Wales","Australia","Australasia / Pacific","Blueberries","Perennial fruit & forestry crops","Representativeness",1,"R18-2",3,0.6,0
"HK","R18",2,"New South Wales","Australia","Australasia / Pacific","Blueberries","Perennial fruit & forestry crops","Limiting Factors",2,"R18-2",3,0.6,0
"HK","R18",2,"New South Wales","Australia","Australasia / Pacific","Blueberries","Perennial fruit & forestry crops","Available Interventions",0,"R18-2",3,0.6,0
"HK","R18",2,"New South Wales","Australia","Australasia / Pacific","Blueberries","Perennial fruit & forestry crops","Monitoring Interventions",0,"R18-2",3,0.6,0
"HK","R18",2,"New South Wales","Australia","Australasia / Pacific","Blueberries","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",0,"R18-2",3,0.6,0
"HR","R19",1,"Alentejo","Portugal","Europe","Vineyard","Vineyard","Evidence",2,"R19-1",12,2.4,2.35215804504935
"HR","R19",1,"Alentejo","Portugal","Europe","Vineyard","Vineyard","Representativeness",1,"R19-1",12,2.4,2.35215804504935
"HR","R19",1,"Alentejo","Portugal","Europe","Vineyard","Vineyard","Limiting Factors",3,"R19-1",12,2.4,2.35215804504935
"HR","R19",1,"Alentejo","Portugal","Europe","Vineyard","Vineyard","Available Interventions",2,"R19-1",12,2.4,2.35215804504935
"HR","R19",1,"Alentejo","Portugal","Europe","Vineyard","Vineyard","Monitoring Interventions",2,"R19-1",12,2.4,2.35215804504935
"HR","R19",1,"Alentejo","Portugal","Europe","Vineyard","Vineyard","Breadth of Implementation
of Interventions",3,"R19-1",12,2.4,2.35215804504935
"HR","R19",2,"Central Portugal","Portugal","Europe","Pine","Perennial fruit & forestry crops","Evidence",2,"R19-2",9,1.8,1.64375182951723
"HR","R19",2,"Central Portugal","Portugal","Europe","Pine","Perennial fruit & forestry crops","Representativeness",3,"R19-2",9,1.8,1.64375182951723
"HR","R19",2,"Central Portugal","Portugal","Europe","Pine","Perennial fruit & forestry crops","Limiting Factors",3,"R19-2",9,1.8,1.64375182951723
"HR","R19",2,"Central Portugal","Portugal","Europe","Pine","Perennial fruit & forestry crops","Available Interventions",1,"R19-2",9,1.8,1.64375182951723
"HR","R19",2,"Central Portugal","Portugal","Europe","Pine","Perennial fruit & forestry crops","Monitoring Interventions",2,"R19-2",9,1.8,1.64375182951723
"HR","R19",2,"Central Portugal","Portugal","Europe","Pine","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",1,"R19-2",9,1.8,1.64375182951723
"HW","R20",1,"Multi-region: shandong province, shannxi province & yunnan province","China","East Asia","Apple","Perennial fruit & forestry crops","Evidence",3,"R20-1",7,1.4,0
"HW","R20",1,"Multi-region: shandong province, shannxi province & yunnan province","China","East Asia","Apple","Perennial fruit & forestry crops","Representativeness",1,"R20-1",7,1.4,0
"HW","R20",1,"Multi-region: shandong province, shannxi province & yunnan province","China","East Asia","Apple","Perennial fruit & forestry crops","Limiting Factors",2,"R20-1",7,1.4,0
"HW","R20",1,"Multi-region: shandong province, shannxi province & yunnan province","China","East Asia","Apple","Perennial fruit & forestry crops","Available Interventions",1,"R20-1",7,1.4,0
"HW","R20",1,"Multi-region: shandong province, shannxi province & yunnan province","China","East Asia","Apple","Perennial fruit & forestry crops","Monitoring Interventions",1,"R20-1",7,1.4,0
"HW","R20",1,"Multi-region: shandong province, shannxi province & yunnan province","China","East Asia","Apple","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",0,"R20-1",7,1.4,0
"JM","R21",1,"Auckland","New Zealand","Australasia / Pacific","Multi- crop & pasture","Pasture & mixed cropping","Evidence",2,"R21-1",3,0.6,0
"JM","R21",1,"Auckland","New Zealand","Australasia / Pacific","Multi- crop & pasture","Pasture & mixed cropping","Representativeness",1,"R21-1",3,0.6,0
"JM","R21",1,"Auckland","New Zealand","Australasia / Pacific","Multi- crop & pasture","Pasture & mixed cropping","Limiting Factors",1,"R21-1",3,0.6,0
"JM","R21",1,"Auckland","New Zealand","Australasia / Pacific","Multi- crop & pasture","Pasture & mixed cropping","Available Interventions",0,"R21-1",3,0.6,0
"JM","R21",1,"Auckland","New Zealand","Australasia / Pacific","Multi- crop & pasture","Pasture & mixed cropping","Monitoring Interventions",0,"R21-1",3,0.6,0
"JM","R21",1,"Auckland","New Zealand","Australasia / Pacific","Multi- crop & pasture","Pasture & mixed cropping","Breadth of Implementation
of Interventions",0,"R21-1",3,0.6,0
"JF","R22",1,"Bourgogne-Franche-Comté","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Evidence",1,"R22-1",7,1.4,1.31950791077289
"JF","R22",1,"Bourgogne-Franche-Comté","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Representativeness",2,"R22-1",7,1.4,1.31950791077289
"JF","R22",1,"Bourgogne-Franche-Comté","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Limiting Factors",2,"R22-1",7,1.4,1.31950791077289
"JF","R22",1,"Bourgogne-Franche-Comté","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Available Interventions",1,"R22-1",7,1.4,1.31950791077289
"JF","R22",1,"Bourgogne-Franche-Comté","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Monitoring Interventions",1,"R22-1",7,1.4,1.31950791077289
"JF","R22",1,"Bourgogne-Franche-Comté","France","Europe","Multi- crop & pasture","Pasture & mixed cropping","Breadth of Implementation
of Interventions",2,"R22-1",7,1.4,1.31950791077289
"JF","R22",2,"Multi-region: Occitanie & Nouvelle-Aquitaine","France","Europe","Vineyard","Vineyard","Evidence",3,"R22-2",11,2.2,2.1689435423954
"JF","R22",2,"Multi-region: Occitanie & Nouvelle-Aquitaine","France","Europe","Vineyard","Vineyard","Representativeness",2,"R22-2",11,2.2,2.1689435423954
"JF","R22",2,"Multi-region: Occitanie & Nouvelle-Aquitaine","France","Europe","Vineyard","Vineyard","Limiting Factors",2,"R22-2",11,2.2,2.1689435423954
"JF","R22",2,"Multi-region: Occitanie & Nouvelle-Aquitaine","France","Europe","Vineyard","Vineyard","Available Interventions",2,"R22-2",11,2.2,2.1689435423954
"JF","R22",2,"Multi-region: Occitanie & Nouvelle-Aquitaine","France","Europe","Vineyard","Vineyard","Monitoring Interventions",2,"R22-2",11,2.2,2.1689435423954
"JF","R22",2,"Multi-region: Occitanie & Nouvelle-Aquitaine","France","Europe","Vineyard","Vineyard","Breadth of Implementation
of Interventions",2,"R22-2",11,2.2,2.1689435423954
"JF","R22",3,"South West England","UK","Europe","Multi- crop & pasture","Pasture & mixed cropping","Evidence",2,"R22-3",11,2.2,2.04767251107922
"JF","R22",3,"South West England","UK","Europe","Multi- crop & pasture","Pasture & mixed cropping","Representativeness",3,"R22-3",11,2.2,2.04767251107922
"JF","R22",3,"South West England","UK","Europe","Multi- crop & pasture","Pasture & mixed cropping","Limiting Factors",3,"R22-3",11,2.2,2.04767251107922
"JF","R22",3,"South West England","UK","Europe","Multi- crop & pasture","Pasture & mixed cropping","Available Interventions",3,"R22-3",11,2.2,2.04767251107922
"JF","R22",3,"South West England","UK","Europe","Multi- crop & pasture","Pasture & mixed cropping","Monitoring Interventions",1,"R22-3",11,2.2,2.04767251107922
"JF","R22",3,"South West England","UK","Europe","Multi- crop & pasture","Pasture & mixed cropping","Breadth of Implementation
of Interventions",2,"R22-3",11,2.2,2.04767251107922
"JL","R23",1,"Hualien County","Taiwan","East Asia","Rice","Grain crops","Evidence",1,"R23-1",3,0.6,0
"JL","R23",1,"Hualien County","Taiwan","East Asia","Rice","Grain crops","Representativeness",1,"R23-1",3,0.6,0
"JL","R23",1,"Hualien County","Taiwan","East Asia","Rice","Grain crops","Limiting Factors",1,"R23-1",3,0.6,0
"JL","R23",1,"Hualien County","Taiwan","East Asia","Rice","Grain crops","Available Interventions",1,"R23-1",3,0.6,0
"JL","R23",1,"Hualien County","Taiwan","East Asia","Rice","Grain crops","Monitoring Interventions",0,"R23-1",3,0.6,0
"JL","R23",1,"Hualien County","Taiwan","East Asia","Rice","Grain crops","Breadth of Implementation
of Interventions",0,"R23-1",3,0.6,0
"JH","R24",1,"Alentejo","Portugal","Europe","Olive groves","Perennial fruit & forestry crops","Evidence",3,"R24-1",8,2.66666666666667,2.6207413942089
"JH","R24",1,"Alentejo","Portugal","Europe","Olive groves","Perennial fruit & forestry crops","Representativeness",3,"R24-1",8,2.66666666666667,2.6207413942089
"JH","R24",1,"Alentejo","Portugal","Europe","Olive groves","Perennial fruit & forestry crops","Limiting Factors",NA,"R24-1",8,2.66666666666667,2.6207413942089
"JH","R24",1,"Alentejo","Portugal","Europe","Olive groves","Perennial fruit & forestry crops","Available Interventions",3,"R24-1",8,2.66666666666667,2.6207413942089
"JH","R24",1,"Alentejo","Portugal","Europe","Olive groves","Perennial fruit & forestry crops","Monitoring Interventions",NA,"R24-1",8,2.66666666666667,2.6207413942089
"JH","R24",1,"Alentejo","Portugal","Europe","Olive groves","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",2,"R24-1",8,2.66666666666667,2.6207413942089
"LA","R25",1,"Tuscany","Italy","Europe","Olive groves","Perennial fruit & forestry crops","Evidence",2,"R25-1",6,1.2,0
"LA","R25",1,"Tuscany","Italy","Europe","Olive groves","Perennial fruit & forestry crops","Representativeness",2,"R25-1",6,1.2,0
"LA","R25",1,"Tuscany","Italy","Europe","Olive groves","Perennial fruit & forestry crops","Limiting Factors",3,"R25-1",6,1.2,0
"LA","R25",1,"Tuscany","Italy","Europe","Olive groves","Perennial fruit & forestry crops","Available Interventions",1,"R25-1",6,1.2,0
"LA","R25",1,"Tuscany","Italy","Europe","Olive groves","Perennial fruit & forestry crops","Monitoring Interventions",0,"R25-1",6,1.2,0
"LA","R25",1,"Tuscany","Italy","Europe","Olive groves","Perennial fruit & forestry crops","Breadth of Implementation
of Interventions",0,"R25-1",6,1.2,0
"LA","R25",2,"Lazio","Italy","Europe","Multi- grain & vegetable","Pasture & mixed cropping","Evidence",2,"R25-2",7,1.4,1.31950791077289
"LA","R25",2,"Lazio","Italy","Europe","Multi- grain & vegetable","Pasture & mixed cropping","Representativeness",2,"R25-2",7,1.4,1.31950791077289
"LA","R25",2,"Lazio","Italy","Europe","Multi- grain & vegetable","Pasture & mixed cropping","Limiting Factors",2,"R25-2",7,1.4,1.31950791077289
"LA","R25",2,"Lazio","Italy","Europe","Multi- grain & vegetable","Pasture & mixed cropping","Available Interventions",1,"R25-2",7,1.4,1.31950791077289
"LA","R25",2,"Lazio","Italy","Europe","Multi- grain & vegetable","Pasture & mixed cropping","Monitoring Interventions",1,"R25-2",7,1.4,1.31950791077289
"LA","R25",2,"Lazio","Italy","Europe","Multi- grain & vegetable","Pasture & mixed cropping","Breadth of Implementation
of Interventions",1,"R25-2",7,1.4,1.31950791077289
"LS","R26",1,"Yucatán","Mexico","Latin America / Caribbean","Multi- crop & pasture","Pasture & mixed cropping","Evidence",1,"R26-1",2,0.4,0
"LS","R26",1,"Yucatán","Mexico","Latin America / Caribbean","Multi- crop & pasture","Pasture & mixed cropping","Representativeness",0,"R26-1",2,0.4,0
"LS","R26",1,"Yucatán","Mexico","Latin America / Caribbean","Multi- crop & pasture","Pasture & mixed cropping","Limiting Factors",1,"R26-1",2,0.4,0
"LS","R26",1,"Yucatán","Mexico","Latin America / Caribbean","Multi- crop & pasture","Pasture & mixed cropping","Available Interventions",0,"R26-1",2,0.4,0
"LS","R26",1,"Yucatán","Mexico","Latin America / Caribbean","Multi- crop & pasture","Pasture & mixed cropping","Monitoring Interventions",0,"R26-1",2,0.4,0
"LS","R26",1,"Yucatán","Mexico","Latin America / Caribbean","Multi- crop & pasture","Pasture & mixed cropping","Breadth of Implementation
of Interventions",0,"R26-1",2,0.4,0
"MC","R27",1,"New South Wales","Australia","Australasia / Pacific","Cotton","Field crops","Evidence",2,"R27-1",5,1,0
"MC","R27",1,"New South Wales","Australia","Australasia / Pacific","Cotton","Field crops","Representativeness",2,"R27-1",5,1,0
"MC","R27",1,"New South Wales","Australia","Australasia / Pacific","Cotton","Field crops","Limiting Factors",1,"R27-1",5,1,0
"MC","R27",1,"New South Wales","Australia","Australasia / Pacific","Cotton","Field crops","Available Interventions",1,"R27-1",5,1,0
"MC","R27",1,"New South Wales","Australia","Australasia / Pacific","Cotton","Field crops","Monitoring Interventions",0,"R27-1",5,1,0
"MC","R27",1,"New South Wales","Australia","Australasia / Pacific","Cotton","Field crops","Breadth of Implementation
of Interventions",1,"R27-1",5,1,0
"NR","R28",1,"Zacatecas","Mexico","Latin America / Caribbean","Multi- crop","Pasture & mixed cropping","Evidence",1,"R28-1",9,1.8,1.74110112659225
"NR","R28",1,"Zacatecas","Mexico","Latin America / Caribbean","Multi- crop","Pasture & mixed cropping","Representativeness",0,"R28-1",9,1.8,1.74110112659225
"NR","R28",1,"Zacatecas","Mexico","Latin America / Caribbean","Multi- crop","Pasture & mixed cropping","Limiting Factors",2,"R28-1",9,1.8,1.74110112659225
"NR","R28",1,"Zacatecas","Mexico","Latin America / Caribbean","Multi- crop","Pasture & mixed cropping","Available Interventions",2,"R28-1",9,1.8,1.74110112659225
"NR","R28",1,"Zacatecas","Mexico","Latin America / Caribbean","Multi- crop","Pasture & mixed cropping","Monitoring Interventions",2,"R28-1",9,1.8,1.74110112659225
"NR","R28",1,"Zacatecas","Mexico","Latin America / Caribbean","Multi- crop","Pasture & mixed cropping","Breadth of Implementation
of Interventions",2,"R28-1",9,1.8,1.74110112659225
"PT","R29",1,"Multi-region: Limpopo & Free State","South Africa","Africa","Multi- fruit & orchard","Perennial fruit & forestry crops","Evidence",3,"R29-1",9,1.8,1.64375182951723
"PT","R29",1,"Multi-region: Limpopo & Free State","South Africa","Africa","Multi- fruit & orchard","Perennial fruit & forestry crops","Representativeness",2,"R29-1",9,1.8,1.64375182951723
"PT","R29",1,"Multi-region: Limpopo & Free State","South Africa","Africa","Multi- fruit & orchard","Perennial fruit & forestry crops","Limiting Factors",2,"R29-1",9,1.8,1.64375182951723
"PT","R29",1,"Multi-region: Limpopo & Free State","South Africa","Africa","Multi- fruit & orchard","Perennial fruit & forestry crops","Available Interventions",2,"R29-1",9,1.8,1.64375182951723
